rank	count	TAXON_URI
3=	1	http://biodiversity.org.au/afd.taxon/030c0b1b-9a5e-4784-9b2c-c2558fb4e2eb
3=	1	http://biodiversity.org.au/afd.taxon/030edcb0-f073-4ab9-9ea7-3efc18d2530f
3=	1	http://biodiversity.org.au/afd.taxon/030f963b-5ada-4a8e-8343-7b06b5025a2d
3=	1	http://biodiversity.org.au/afd.taxon/0313476b-7e91-42db-bdf7-ad0d94269d52
3=	1	http://biodiversity.org.au/afd.taxon/031845b3-6bce-4ec1-a58d-ebefbc597dd5
3=	1	http://biodiversity.org.au/afd.taxon/031bc553-0be8-45aa-8d6e-4c0e28340924
3=	1	http://biodiversity.org.au/afd.taxon/031d23a6-76a5-4a76-b829-b27b224f6110
3=	1	http://biodiversity.org.au/afd.taxon/031f5fb2-96f8-475e-afb5-30d554cba3a8
3=	1	http://biodiversity.org.au/afd.taxon/03215a5b-7adc-4432-8faa-5e975de9e322
3=	1	http://biodiversity.org.au/afd.taxon/032902a1-e1cb-47bf-af17-9cdc2e6d3e85
3=	1	http://biodiversity.org.au/afd.taxon/032f2073-62dc-46b4-9cdb-a56477cfe94e
3=	1	http://biodiversity.org.au/afd.taxon/0331c9a2-52aa-4c06-85aa-03ea1a351104
3=	1	http://biodiversity.org.au/afd.taxon/03337a86-df21-4699-a2bc-2b60029a6d4a
3=	1	http://biodiversity.org.au/afd.taxon/0336ff65-1d8d-436c-89aa-5e866455afc9
3=	1	http://biodiversity.org.au/afd.taxon/033a8f39-b55d-40b5-9abd-f5991b8b0a73
3=	1	http://biodiversity.org.au/afd.taxon/033b2eec-fac6-46bf-9314-e1998c500c29
