rank	count	Latitude
970=	7	-29.58166
970=	7	-3.56500
970=	7	-30.16817
970=	7	-30.41361
970=	7	-30.41822
970=	7	-30.42986
970=	7	-30.44930
970=	7	-31.58000
970=	7	-31.93800
970=	7	-32.06355
970=	7	-32.17327
970=	7	-32.29203
970=	7	-33.07505
970=	7	-33.54400
970=	7	-33.73981
970=	7	-33.74657
970=	7	-33.79083
970=	7	-33.86500
970=	7	-33.95786
970=	7	-34.01657
970=	7	-34.21910
970=	7	-34.73835
970=	7	-35.07114
970=	7	-35.39200
970=	7	-35.45218
970=	7	-35.58100
970=	7	-36.81280
970=	7	-37.25988
970=	7	-4.45000
970=	7	-42.83639
970=	7	-6.44437
970=	7	-6.58916
970=	7	-6.83330
970=	7	-7.33845
970=	7	-9.50000
970=	7	-9.54585
970=	7	2.42873
970=	7	7.36055
970=	7	8.50000
970=	7	8.81118
1046=	6	-11.66666
1046=	6	-12.37000
1046=	6	-12.94900
1046=	6	-13.10300
1046=	6	-14.50000
1046=	6	-15.17443
1046=	6	-15.55000
1046=	6	-15.77300
1046=	6	-16.34400
1046=	6	-16.49991
1046=	6	-16.77786
1046=	6	-16.81985
1046=	6	-16.98621
1046=	6	-17.03861
1046=	6	-17.04600
1046=	6	-17.23409
1046=	6	-17.79903
1046=	6	-18.25000
1046=	6	-20.68793
1046=	6	-21.86667
1046=	6	-22.02605
1046=	6	-22.16666
1046=	6	-22.30028
1046=	6	-22.81000
1046=	6	-22.82300
1046=	6	-23.18333
1046=	6	-23.37814
1046=	6	-23.75002
1046=	6	-24.40709
1046=	6	-24.86940
1046=	6	-24.99800
1046=	6	-25.85870
1046=	6	-25.95000
1046=	6	-26.57361
1046=	6	-26.99291
1046=	6	-27.00000
1046=	6	-27.33683
1046=	6	-27.49010
1046=	6	-27.61500
1046=	6	-27.62473
1046=	6	-27.63200
1046=	6	-27.82155
1046=	6	-27.99008
1046=	6	-28.25600
1046=	6	-28.51666
1046=	6	-29.00362
1046=	6	-29.21888
1046=	6	-29.24941
1046=	6	-29.25311
1046=	6	-29.48333
1046=	6	-29.57497
1046=	6	-3.15000
1046=	6	-3.74417
1046=	6	-30.32558
1046=	6	-31.39277
1046=	6	-31.43333
1046=	6	-31.45000
1046=	6	-31.54800
1046=	6	-31.64400
1046=	6	-31.64700
1046=	6	-31.65000
1046=	6	-31.75700
1046=	6	-31.84400
1046=	6	-31.86500
1046=	6	-31.87114
1046=	6	-31.90000
1046=	6	-31.90361
1046=	6	-31.91669
1046=	6	-33.22000
1046=	6	-33.31100
1046=	6	-33.39857
1046=	6	-33.60700
1046=	6	-33.70200
1046=	6	-33.78972
1046=	6	-33.80000
1046=	6	-33.85302
1046=	6	-33.86404
1046=	6	-33.87081
1046=	6	-33.89000
1046=	6	-33.99527
1046=	6	-34.21500
1046=	6	-34.42500
1046=	6	-34.87116
1046=	6	-35.13800
1046=	6	-35.23675
1046=	6	-35.49340
1046=	6	-35.53333
1046=	6	-35.55000
1046=	6	-35.78300
1046=	6	-36.26500
1046=	6	-36.48009
1046=	6	-36.55100
1046=	6	-37.09600
1046=	6	-37.14992
1046=	6	-37.73335
1046=	6	-39.25000
1046=	6	-4.72848
1046=	6	-42.88893
1046=	6	-43.13500
1046=	6	-5.87792
1046=	6	-6.39286
1046=	6	-8.73333
1046=	6	-9.09900
1046=	6	-9.49471
1046=	6	1.50361
1046=	6	4.41670
1046=	6	9.35305
1153=	5	-10.53330
1153=	5	-10.75000
1153=	5	-11.40000
1153=	5	-11.86666
1153=	5	-12.65100
1153=	5	-12.72190
1153=	5	-15.02000
1153=	5	-15.60563
1153=	5	-16.05000
1153=	5	-16.47000
1153=	5	-16.47220
1153=	5	-16.63719
1153=	5	-16.72167
1153=	5	-16.84427
1153=	5	-17.02258
1153=	5	-17.03333
1153=	5	-17.16666
1153=	5	-17.23000
1153=	5	-17.43333
1153=	5	-17.51667
1153=	5	-17.52000
1153=	5	-17.61638
1153=	5	-17.64688
1153=	5	-17.68333
1153=	5	-17.70000
1153=	5	-18.05716
1153=	5	-18.08747
1153=	5	-18.12639
1153=	5	-18.18795
1153=	5	-18.19000
1153=	5	-18.42700
1153=	5	-18.45000
1153=	5	-19.01666
1153=	5	-19.16670
1153=	5	-19.26000
1153=	5	-19.35000
1153=	5	-19.48800
1153=	5	-19.56667
1153=	5	-20.13100
1153=	5	-20.81667
1153=	5	-21.47700
1153=	5	-21.51666
1153=	5	-22.03158
1153=	5	-22.16700
1153=	5	-22.30166
1153=	5	-22.71933
1153=	5	-22.80000
1153=	5	-23.36667
1153=	5	-23.80002
1153=	5	-24.50527
1153=	5	-25.11667
1153=	5	-26.21359
1153=	5	-26.31800
1153=	5	-26.63241
1153=	5	-26.93300
1153=	5	-27.06500
1153=	5	-27.45883
1153=	5	-27.51166
1153=	5	-27.55900
1153=	5	-27.56500
1153=	5	-27.57000
1153=	5	-27.58400
1153=	5	-27.98496
1153=	5	-28.18333
1153=	5	-28.32200
1153=	5	-29.08177
1153=	5	-29.18108
1153=	5	-29.49900
1153=	5	-29.59338
1153=	5	-30.28700
1153=	5	-30.33667
1153=	5	-30.33705
1153=	5	-30.36500
1153=	5	-30.42666
1153=	5	-31.55200
1153=	5	-31.88600
1153=	5	-31.92800
1153=	5	-32.11600
1153=	5	-32.12210
1153=	5	-32.26667
1153=	5	-32.32000
1153=	5	-32.33333
1153=	5	-32.68200
1153=	5	-33.42400
1153=	5	-33.84800
1153=	5	-33.85700
1153=	5	-34.01500
1153=	5	-34.10100
1153=	5	-34.17611
1153=	5	-34.23500
1153=	5	-34.67872
1153=	5	-34.71666
1153=	5	-35.25031
1153=	5	-35.30400
1153=	5	-35.31666
1153=	5	-35.33186
1153=	5	-35.36666
1153=	5	-35.50000
1153=	5	-35.65613
1153=	5	-35.85000
1153=	5	-35.87900
1153=	5	-35.88800
1153=	5	-36.91668
1153=	5	-36.93333
1153=	5	-38.20205
1153=	5	-4.34835
1153=	5	-41.30545
