count$path$bad_name$	suggested_name
    4$_NO_HIGHERTAXON$Arthrocnemum halocnemoides var. pterygospermum$	Arthrocnemum sp_ms_halocnemoides
    1$_NO_HIGHERTAXON$Artocarpus altilis$	Artocarpus sp_ms_altilis
    2$_NO_HIGHERTAXON$Artocarpus heterophyllus$	Artocarpus sp_ms_heterophyllus
    2$_NO_HIGHERTAXON$Artocarpus incisus$	Artocarpus sp_ms_incisus
    2$_NO_HIGHERTAXON$Arundinaria gigantea$	Arundinaria sp_ms_gigantea
    1$_NO_HIGHERTAXON$Ascocentrum miniatum$	Ascocentrum sp_ms_miniatum
    1$_NO_HIGHERTAXON$Ascyrum edisonianum$	Ascyrum sp_ms_edisonianum
    1$_NO_HIGHERTAXON$Ascyrum stans$	Ascyrum sp_ms_stans
    1$_NO_HIGHERTAXON$Ascyrum tetrapetalum$	Ascyrum sp_ms_tetrapetalum
    3$_NO_HIGHERTAXON$Asimina obovata$	Asimina sp_ms_obovata
    1$_NO_HIGHERTAXON$Asimina parviflora$	Asimina sp_ms_parviflora
    9$_NO_HIGHERTAXON$Asimina sp.$	Asimina sp.
    1$_NO_HIGHERTAXON$Asimina triloba$	Asimina sp_ms_triloba
    3$_NO_HIGHERTAXON$Asimina$	Asimina
   10$_NO_HIGHERTAXON$Asparagus aethiopicus$	Asparagus sp_ms_aethiopicus
    2$_NO_HIGHERTAXON$Asparagus densiflorus$	Asparagus sp_ms_densiflorus
    1$_NO_HIGHERTAXON$Asparagus retrofractus$	Asparagus sp_ms_retrofractus
    1$_NO_HIGHERTAXON$Asparagus setaceus$	Asparagus sp_ms_setaceus
    4$_NO_HIGHERTAXON$Asparagus sp.$	Asparagus sp.
    4$_NO_HIGHERTAXON$Aspidistra elatior$	Aspidistra sp_ms_elatior
    1$_NO_HIGHERTAXON$Aspidistra sp.$	Aspidistra sp.
    1$_NO_HIGHERTAXON$Aspidistra$	Aspidistra
    1$_NO_HIGHERTAXON$Asplenium nidus$	Asplenium sp_ms_nidus
    3$_NO_HIGHERTAXON$Asplenium sp.$	Asplenium sp.
   14$_NO_HIGHERTAXON$Astartea sp.$	Astartea sp.
    1$_NO_HIGHERTAXON$Astartea$	Astartea
    1$_NO_HIGHERTAXON$Astronia ligulata$	Astronia sp_ms_ligulata
   16$_NO_HIGHERTAXON$Astrotricha asperifolia$	Astrotricha sp_ms_asperifolia
    2$_NO_HIGHERTAXON$Astrotricha floccosa$	Astrotricha sp_ms_floccosa
   68$_NO_HIGHERTAXON$Astrotricha latifolia$	Astrotricha sp_ms_latifolia
   40$_NO_HIGHERTAXON$Astrotricha longifolia$	Astrotricha sp_ms_longifolia
    4$_NO_HIGHERTAXON$Atalaya hemiglauca$	Atalaya sp_ms_hemiglauca
   11$_NO_HIGHERTAXON$Athrotaxis cupressoides$	Athrotaxis sp_ms_cupressoides
   69$_NO_HIGHERTAXON$Atriplex amnicola$	Atriplex sp_ms_amnicola
    7$_NO_HIGHERTAXON$Atriplex bunburyana$	Atriplex sp_ms_bunburyana
   27$_NO_HIGHERTAXON$Atriplex isatidea subsp. tragus$	Atriplex sp_ms_isatidea
   21$_NO_HIGHERTAXON$Atriplex isatidea$	Atriplex sp_ms_isatidea
    1$_NO_HIGHERTAXON$Atriplex lentiformis subsp. torreyi$	Atriplex sp_ms_lentiformis
   18$_NO_HIGHERTAXON$Atriplex nummularia nummularia$	Atriplex sp_nummularia_nummularia
   83$_NO_HIGHERTAXON$Atriplex nummularia subsp. omissa$	Atriplex sp_ms_nummularia
   22$_NO_HIGHERTAXON$Atriplex nummularia$	Atriplex sp_ms_nummularia
   38$_NO_HIGHERTAXON$Atriplex sp.$	Atriplex sp.
   17$_NO_HIGHERTAXON$Aucuba japonica$	Aucuba sp_ms_japonica
    3$_NO_HIGHERTAXON$Aucuba sp.$	Aucuba sp.
    4$_NO_HIGHERTAXON$Averrhoa carambola$	Averrhoa sp_ms_carambola
    2$_NO_HIGHERTAXON$Averrhoa$	Averrhoa
    1$_NO_HIGHERTAXON$Avicennia germinans$	Avicennia sp_ms_germinans
   31$_NO_HIGHERTAXON$Avicennia marina$	Avicennia sp_ms_marina
