rank	count	N_GENUS
1038=	8	Fimbristylis
1038=	8	Galeorhinus
1038=	8	Gallinago
1038=	8	Grallina
1038=	8	Grus
1038=	8	Haliotis
1038=	8	Hipposideros
1038=	8	Hordeum
1038=	8	Hovea
1038=	8	Iris
1038=	8	Lactuca
1038=	8	Latridopsis
1038=	8	Lepidopus
1038=	8	Lepidozamia
1038=	8	Leporillus
1038=	8	Leucocarbo
1038=	8	Lycopersicum
1038=	8	Microcarbo
1038=	8	Myzomela
1038=	8	Newcastelia
1038=	8	Oceanites
1038=	8	Oedalechilus
1038=	8	Onychoprion
1038=	8	Pelates
1038=	8	Periclimenes
1038=	8	Pervagor
1038=	8	Phaethon
1038=	8	Philotheca
1038=	8	Philypnodon
1038=	8	Pisonia
1038=	8	Podolobium
1038=	8	Punica
1038=	8	Rana
1038=	8	Rottboellia
1038=	8	Sarcopetalum
1038=	8	Sillaginodes
1038=	8	Spartochloa
1038=	8	Stegastes
1038=	8	Sutorectus
1038=	8	Thalasseus
1038=	8	Thyrsites
1038=	8	Tursiops
1038=	8	Vespadelus
1038=	8	Wodyetia
1038=	8	Wyulda
1102=	7	Alyogyne
1102=	7	Amaranthus
1102=	7	Anonychomyrma
1102=	7	Antechinomys
1102=	7	Aphaenogaster
1102=	7	Apogon
1102=	7	Artabotrys
1102=	7	Atherosperma
1102=	7	Beilschmiedia
1102=	7	Bosistoa
1102=	7	Buxus
1102=	7	Capsella
1102=	7	Cardwellia
1102=	7	Cheilodactylus
1102=	7	Chionis
1102=	7	Chloris
1102=	7	Chrysolophus
1102=	7	Cissus
1102=	7	Coprosma
1102=	7	Coryphaenoides
1102=	7	Cryptoblepharus
1102=	7	Cuculus
1102=	7	Cyathostemma
1102=	7	Cygnodraco
1102=	7	Danthonia
1102=	7	Diplodactylus
1102=	7	Diselma
1102=	7	Dodonea
1102=	7	Dorcopsis
1102=	7	Eleusine
1102=	7	Glycosmis
1102=	7	Goniothalamus
1102=	7	Gonipterus
1102=	7	Helicoverpa
1102=	7	Hydrolagus
1102=	7	Hylaphus
1102=	7	Leionura
1102=	7	Leptospermun
1102=	7	Lugensa
1102=	7	Macrotis
1102=	7	Magnolia
1102=	7	Malacorhynchus
1102=	7	Meiogyne
1102=	7	Moloch
1102=	7	Neotrygon
1102=	7	Nesogobius
1102=	7	Notaden
1102=	7	Notomys
1102=	7	Nyctophilus
1102=	7	Ochetellus
1102=	7	Onopordum
1102=	7	Ornithorhynchus
1102=	7	Pithecellobium
1102=	7	Pseudaphritis
1102=	7	Psoralea
1102=	7	Retropinna
1102=	7	Rhinobatos
1102=	7	Salsola
1102=	7	Scarus
1102=	7	Scirpus
1102=	7	Sclerolaena
1102=	7	Serinus
1102=	7	Syringa
1102=	7	Thea
1102=	7	Theobroma
1102=	7	Timonius
1102=	7	Torquigener
1102=	7	Trachichthodes
1102=	7	Triacanthus
1102=	7	Zanclorhynchus
1172=	6	Acaena
1172=	6	Acanthochaera
1172=	6	Achyranthes
1172=	6	Acrobates
1172=	6	Adenium
1172=	6	Aegotheles
1172=	6	Aglaonema
1172=	6	Albunea
1172=	6	Allocyttus
1172=	6	Alstonia
1172=	6	Andersonia
1172=	6	Andropogon
1172=	6	Anthocercis
1172=	6	Aulopus
1172=	6	Bambusa
1172=	6	Boeckella
1172=	6	Botaurus
1172=	6	Bovis
1172=	6	Calanthe
1172=	6	Carcharinus
1172=	6	Catharacta
1172=	6	Cavia
1172=	6	Ceiba
1172=	6	Cenchrus
1172=	6	Chaetodontoplus
1172=	6	Chlamydera
1172=	6	Chorilaena
1172=	6	Codonocarpus
1172=	6	Conospemum
1172=	6	Correa
1172=	6	Corylus
1172=	6	Cryptostegia
1172=	6	Cynoglossus
1172=	6	Dardanus
1172=	6	Dasyuroides
1172=	6	Diodon
1172=	6	Diploprion
1172=	6	Echinochloa
1172=	6	Echinopora
1172=	6	Eisenia
1172=	6	Eleaocarpus
