rank	count	NAME_LSID
372=	27	urn:lsid:biodiversity.org.au:afd.name:312020
372=	27	urn:lsid:biodiversity.org.au:afd.name:323068
372=	27	urn:lsid:biodiversity.org.au:afd.name:323327
372=	27	urn:lsid:biodiversity.org.au:afd.name:327385
372=	27	urn:lsid:biodiversity.org.au:afd.name:328026
372=	27	urn:lsid:biodiversity.org.au:afd.name:338515
372=	27	urn:lsid:biodiversity.org.au:afd.name:365987
372=	27	urn:lsid:biodiversity.org.au:afd.name:368652
372=	27	urn:lsid:biodiversity.org.au:afd.name:384835
372=	27	urn:lsid:biodiversity.org.au:afd.name:421589
372=	27	urn:lsid:biodiversity.org.au:afd.name:426423
372=	27	urn:lsid:biodiversity.org.au:afd.name:446533
372=	27	urn:lsid:biodiversity.org.au:afd.name:462370
372=	27	urn:lsid:biodiversity.org.au:afd.name:493076
372=	27	urn:lsid:biodiversity.org.au:afd.name:507390
372=	27	urn:lsid:biodiversity.org.au:afd.name:553506
394=	26	urn:lsid:biodiversity.org.au:afd.name:369196
394=	26	urn:lsid:biodiversity.org.au:afd.name:370191
394=	26	urn:lsid:biodiversity.org.au:afd.name:417394
394=	26	urn:lsid:biodiversity.org.au:afd.name:458415
394=	26	urn:lsid:biodiversity.org.au:afd.name:536218
394=	26	urn:lsid:biodiversity.org.au:afd.name:538580
394=	26	urn:lsid:biodiversity.org.au:afd.name:545238
394=	26	urn:lsid:biodiversity.org.au:afd.name:583698
394=	26	urn:lsid:biodiversity.org.au:afd.name:587596
403=	25	urn:lsid:biodiversity.org.au:afd.name:286934
403=	25	urn:lsid:biodiversity.org.au:afd.name:304326
403=	25	urn:lsid:biodiversity.org.au:afd.name:307841
403=	25	urn:lsid:biodiversity.org.au:afd.name:308354
403=	25	urn:lsid:biodiversity.org.au:afd.name:320950
403=	25	urn:lsid:biodiversity.org.au:afd.name:326380
403=	25	urn:lsid:biodiversity.org.au:afd.name:350374
403=	25	urn:lsid:biodiversity.org.au:afd.name:357757
403=	25	urn:lsid:biodiversity.org.au:afd.name:373922
403=	25	urn:lsid:biodiversity.org.au:afd.name:374087
403=	25	urn:lsid:biodiversity.org.au:afd.name:384855
403=	25	urn:lsid:biodiversity.org.au:afd.name:394946
403=	25	urn:lsid:biodiversity.org.au:afd.name:423303
403=	25	urn:lsid:biodiversity.org.au:afd.name:451816
403=	25	urn:lsid:biodiversity.org.au:afd.name:458258
403=	25	urn:lsid:biodiversity.org.au:afd.name:461144
403=	25	urn:lsid:biodiversity.org.au:afd.name:467573
403=	25	urn:lsid:biodiversity.org.au:afd.name:502635
403=	25	urn:lsid:biodiversity.org.au:afd.name:560242
422=	24	urn:lsid:biodiversity.org.au:afd.name:318360
422=	24	urn:lsid:biodiversity.org.au:afd.name:319384
422=	24	urn:lsid:biodiversity.org.au:afd.name:322346
422=	24	urn:lsid:biodiversity.org.au:afd.name:324242
422=	24	urn:lsid:biodiversity.org.au:afd.name:328517
422=	24	urn:lsid:biodiversity.org.au:afd.name:338491
422=	24	urn:lsid:biodiversity.org.au:afd.name:344154
422=	24	urn:lsid:biodiversity.org.au:afd.name:347236
422=	24	urn:lsid:biodiversity.org.au:afd.name:351521
422=	24	urn:lsid:biodiversity.org.au:afd.name:353792
422=	24	urn:lsid:biodiversity.org.au:afd.name:353793
422=	24	urn:lsid:biodiversity.org.au:afd.name:371159
422=	24	urn:lsid:biodiversity.org.au:afd.name:371550
422=	24	urn:lsid:biodiversity.org.au:afd.name:390204
422=	24	urn:lsid:biodiversity.org.au:afd.name:403580
422=	24	urn:lsid:biodiversity.org.au:afd.name:403581
422=	24	urn:lsid:biodiversity.org.au:afd.name:406930
422=	24	urn:lsid:biodiversity.org.au:afd.name:406931
422=	24	urn:lsid:biodiversity.org.au:afd.name:418448
422=	24	urn:lsid:biodiversity.org.au:afd.name:419718
422=	24	urn:lsid:biodiversity.org.au:afd.name:419900
422=	24	urn:lsid:biodiversity.org.au:afd.name:420138
422=	24	urn:lsid:biodiversity.org.au:afd.name:422947
422=	24	urn:lsid:biodiversity.org.au:afd.name:423302
422=	24	urn:lsid:biodiversity.org.au:afd.name:424453
422=	24	urn:lsid:biodiversity.org.au:afd.name:424997
422=	24	urn:lsid:biodiversity.org.au:afd.name:430216
422=	24	urn:lsid:biodiversity.org.au:afd.name:430922
422=	24	urn:lsid:biodiversity.org.au:afd.name:430926
422=	24	urn:lsid:biodiversity.org.au:afd.name:437594
422=	24	urn:lsid:biodiversity.org.au:afd.name:438557
422=	24	urn:lsid:biodiversity.org.au:afd.name:438621
422=	24	urn:lsid:biodiversity.org.au:afd.name:441673
422=	24	urn:lsid:biodiversity.org.au:afd.name:444447
422=	24	urn:lsid:biodiversity.org.au:afd.name:444571
422=	24	urn:lsid:biodiversity.org.au:afd.name:444969
422=	24	urn:lsid:biodiversity.org.au:afd.name:448409
422=	24	urn:lsid:biodiversity.org.au:afd.name:450225
422=	24	urn:lsid:biodiversity.org.au:afd.name:453656
422=	24	urn:lsid:biodiversity.org.au:afd.name:481945
422=	24	urn:lsid:biodiversity.org.au:afd.name:482070
422=	24	urn:lsid:biodiversity.org.au:afd.name:482867
422=	24	urn:lsid:biodiversity.org.au:afd.name:491829
422=	24	urn:lsid:biodiversity.org.au:afd.name:499226
422=	24	urn:lsid:biodiversity.org.au:afd.name:502848
