name	family	interaction	host name	host family	source
Acanthobothrium bobconniorum	Onchobothriidae	Associate:Consumer:Parasite	Rhynchobatus laevis	Rhynchobatidae	http://biodiversity.org.au/afd/taxa/e54c67b1-8f7d-4078-b2e9-6e036309e216
Acanthobothrium brayi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Sutorectus tentaculatus	Orectolobidae	http://biodiversity.org.au/afd/taxa/e226ca0b-6934-4ebe-8f3d-fd5fb0ba3387
Acanthobothrium cannoni	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Himantura uarnak	Dasyatidae	http://biodiversity.org.au/afd/taxa/a94e0bc1-20d6-407c-ad0b-07dc45bf684f
Acanthobothrium clarkeae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus cruciatus	Urolophidae	http://biodiversity.org.au/afd/taxa/ed1ba17b-aa79-4df4-ae02-180ef9406f35
Acanthobothrium clarkeae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus expansus	Urolophidae	http://biodiversity.org.au/afd/taxa/ed1ba17b-aa79-4df4-ae02-180ef9406f35
Acanthobothrium clarkeae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus paucimaculatus	Urolophidae	http://biodiversity.org.au/afd/taxa/ed1ba17b-aa79-4df4-ae02-180ef9406f35
Acanthobothrium cribbi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Gymnura australis	Gymnuridae	http://biodiversity.org.au/afd/taxa/075f8098-8d3e-4ca5-aca8-a37e178ff660
Acanthobothrium gibsoni	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Rhynchobatus	Rhynchobatidae	http://biodiversity.org.au/afd/taxa/ab64b8fc-2c47-4750-a963-56e205da56a0
Acanthobothrium gloveri	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Trygonorrhina fasciata	Rhinobatidae	http://biodiversity.org.au/afd/taxa/13c316e5-7bfd-4400-b90a-071d5edb2d6d
Acanthobothrium heterodonti	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Heterodontus portusjacksoni	Heterodontidae	http://biodiversity.org.au/afd/taxa/ada53f08-c9ba-4346-922c-97eaf2d1a2d2
Acanthobothrium hypermekkolpos	Onchobothriidae	Associate:Consumer:Parasite	Rhynchobatus laevis	Rhynchobatidae	http://biodiversity.org.au/afd/taxa/75bca1dd-570c-4f9f-a4af-cdabf3737b52
Acanthobothrium jeanneae	Onchobothriidae	Associate:Consumer:Parasite	Rhynchobatus laevis	Rhynchobatidae	http://biodiversity.org.au/afd/taxa/8792621e-e75d-43d5-aea1-c8ffb9637656
