rank	count	URI
323=	10	http://biodiversity.org.au/afd.name/453052
323=	10	http://biodiversity.org.au/afd.name/453159
323=	10	http://biodiversity.org.au/afd.name/455134
323=	10	http://biodiversity.org.au/afd.name/456531
323=	10	http://biodiversity.org.au/afd.name/457159
323=	10	http://biodiversity.org.au/afd.name/457272
323=	10	http://biodiversity.org.au/afd.name/457302
323=	10	http://biodiversity.org.au/afd.name/457563
323=	10	http://biodiversity.org.au/afd.name/457797
323=	10	http://biodiversity.org.au/afd.name/457861
323=	10	http://biodiversity.org.au/afd.name/459201
323=	10	http://biodiversity.org.au/afd.name/459988
323=	10	http://biodiversity.org.au/afd.name/462269
323=	10	http://biodiversity.org.au/afd.name/463688
323=	10	http://biodiversity.org.au/afd.name/463729
323=	10	http://biodiversity.org.au/afd.name/465806
323=	10	http://biodiversity.org.au/afd.name/466351
323=	10	http://biodiversity.org.au/afd.name/466765
323=	10	http://biodiversity.org.au/afd.name/468314
323=	10	http://biodiversity.org.au/afd.name/468436
323=	10	http://biodiversity.org.au/afd.name/468616
323=	10	http://biodiversity.org.au/afd.name/468945
323=	10	http://biodiversity.org.au/afd.name/468946
323=	10	http://biodiversity.org.au/afd.name/469048
323=	10	http://biodiversity.org.au/afd.name/469158
323=	10	http://biodiversity.org.au/afd.name/469832
323=	10	http://biodiversity.org.au/afd.name/470163
323=	10	http://biodiversity.org.au/afd.name/470256
323=	10	http://biodiversity.org.au/afd.name/470257
323=	10	http://biodiversity.org.au/afd.name/470278
323=	10	http://biodiversity.org.au/afd.name/470523
323=	10	http://biodiversity.org.au/afd.name/470524
323=	10	http://biodiversity.org.au/afd.name/470551
323=	10	http://biodiversity.org.au/afd.name/470777
323=	10	http://biodiversity.org.au/afd.name/470779
323=	10	http://biodiversity.org.au/afd.name/470806
323=	10	http://biodiversity.org.au/afd.name/470847
323=	10	http://biodiversity.org.au/afd.name/470901
323=	10	http://biodiversity.org.au/afd.name/470965
323=	10	http://biodiversity.org.au/afd.name/470992
323=	10	http://biodiversity.org.au/afd.name/471048
323=	10	http://biodiversity.org.au/afd.name/471171
323=	10	http://biodiversity.org.au/afd.name/471306
323=	10	http://biodiversity.org.au/afd.name/471321
323=	10	http://biodiversity.org.au/afd.name/471513
