rank	count	SCIENTIFIC_NAME
499=	9	Dicrurus bracteatus bracteatus
499=	9	Dictyotus conspicuus
499=	9	Diplacodes bipunctata
499=	9	Diplodactylus conspicillatus
499=	9	Diporiphora winneckei
499=	9	Domiporta granatina
499=	9	Drakiessa wasselli
499=	9	Eclectus roratus macgillivrayi
499=	9	Elseyornis melanops
499=	9	Epthianura (Parepthianura) tricolor
499=	9	Equus (Equus) caballus
499=	9	Eulamprus tympanum
499=	9	Gafrarium pectinatum
499=	9	Geocoris provisus
499=	9	Geophaps (Geophaps) smithii blaauwi
499=	9	Geratarma tasmaniensis
499=	9	Glochocoris brisbanicus
499=	9	Grallina cyanoleuca
499=	9	Granulaptera alticola
499=	9	Granulaptera cooki
499=	9	Granulaptera ovata
499=	9	Granulaptera remota
499=	9	Granulaptera tuberculata
499=	9	Granulaptera verrucosa
499=	9	Grossander triocellatus
499=	9	Haliplus fuscatus
499=	9	Haliplus gibbus
499=	9	Haustellum multiplicatus multiplicatus
499=	9	Hebra corticata
499=	9	Heleioporus eyrei
499=	9	Heleioporus inornatus
499=	9	Heleioporus psammophilus
499=	9	Hemiphaga novaeseelandiae spadicea
499=	9	Horridipamera nietneri
499=	9	Intellagama lesueurii
499=	9	Isoodon obesulus
499=	9	Kalkadoona pallida
499=	9	Kurrajongia armata
499=	9	Lechriodus fletcheri
499=	9	Leggadina forresti
499=	9	Lepidochelys olivacea
499=	9	Lepidoteuthis grimaldii
499=	9	Lerista frosti
499=	9	Lerista labialis
499=	9	Lethocerus (Lethocerus) insulanus
499=	9	Leucosarcia melanoleuca
499=	9	Liasis fuscus
499=	9	Lichmera (Lichmera) indistincta
499=	9	Lichmera (Lichmera) indistincta indistincta
499=	9	Lilliputocoris punctatus
499=	9	Limnodynastes convexiusculus
499=	9	Limnodynastes salmini
499=	9	Litoria booroolongensis
499=	9	Litoria citropa
499=	9	Litoria dentata
499=	9	Litoria microbelos
499=	9	Litoria pallida
499=	9	Litoria verreauxii
499=	9	Litoria watjulumensis
499=	9	Lopholaimus antarcticus
499=	9	Lyncina vitellus
499=	9	Macroderma gigas
499=	9	Macropus irma
499=	9	Macropygia (Macropygia) amboinensis phasianella
499=	9	Macropygia (Macropygia) amboinensis robinsoni
499=	9	Macroscytus australis
499=	9	Magellania flavescens
499=	9	Mastacomys fuscus
499=	9	Melanerythrus mactans
499=	9	Melanodryas (Melanodryas) cucullata
499=	9	Melomys burtoni
499=	9	Melomys cervinipes
499=	9	Micronecta queenslandica
499=	9	Mitra (Mitra) variabilis
499=	9	Mixophyes iteratus
499=	9	Murex (Murex) acanthostephes
499=	9	Murex (Murex) brevispina macgillivrayi
499=	9	Murex (Murex) pecten soelae
499=	9	Myiagra (Seisura) inquieta
499=	9	Nassarius (Profundinassa) babylonicus
499=	9	Neocancilla circula
499=	9	Neophloeobia incisa
499=	9	Neophloeobia mirabilis
499=	9	Neophloeobia montrouzieri
499=	9	Neuroctenus gracilis
499=	9	Ninox (Ninox) novaeseelandiae albaria
499=	9	Ninox (Rhabdoglaux) strenua
499=	9	Notius depressus
499=	9	Notomys alexis
499=	9	Notoryctes caurinus
499=	9	Oncopeltus (Oncopeltus) quadriguttatus
499=	9	Oncopeltus (Oncopeltus) sordidus
499=	9	Onthophagus consentaneus
499=	9	Opistostenus vulturnus
499=	9	Oxyuranus scutellatus
499=	9	Pamerapa thoracica
499=	9	Pantala flavescens
499=	9	Paraeucosmetus woodwardi
499=	9	Perameles nasuta
499=	9	Petaurus australis
499=	9	Petrogale godmani
499=	9	Petrogale lateralis
499=	9	Petrogale rothschildi
499=	9	Pezoporus wallicus leachi
499=	9	Pezoporus wallicus wallicus
499=	9	Philipis frerei
499=	9	Philipis picta
499=	9	Philipis planicola
499=	9	Philoscaphus costalis
499=	9	Pluvialis fulva
499=	9	Poecilometis armatus
499=	9	Poecilometis strigatus
499=	9	Pogona minor
499=	9	Pogona minor minima
499=	9	Pomatostomus (Morganornis) superciliosus
499=	9	Priacanthus macracanthus
499=	9	Pseudemoia entrecasteauxii
499=	9	Pseudodrymus florestalis
499=	9	Pseudonaja affinis
499=	9	Pseudophryne coriacea
499=	9	Pseudophryne corroboree
