rank	count	cc_attributionURL
123=	1	http://biodiversity.org.au/afd.taxon/07f5a053-d815-46f8-94f7-d5558c33e0ad
123=	1	http://biodiversity.org.au/afd.taxon/080ff09d-fa2a-4cb1-8db8-743064e0a8ee
123=	1	http://biodiversity.org.au/afd.taxon/081044fa-c052-4c7e-97fb-d9d693b637b3
123=	1	http://biodiversity.org.au/afd.taxon/0821b595-4b8a-4977-a733-d9ead9804553
123=	1	http://biodiversity.org.au/afd.taxon/083e6242-2fea-4560-b84c-df6d75729a4c
123=	1	http://biodiversity.org.au/afd.taxon/08723868-99c6-426f-af08-a03849aaaf13
123=	1	http://biodiversity.org.au/afd.taxon/089a894b-a5d7-4537-b123-3a177e436546
123=	1	http://biodiversity.org.au/afd.taxon/08a1ce88-ad39-427e-9e59-1c7a142b7265
123=	1	http://biodiversity.org.au/afd.taxon/08a9a940-55c2-4ce4-94bd-e67c66fdd35b
123=	1	http://biodiversity.org.au/afd.taxon/08b7202b-5bf4-42d7-81fd-16df4db140a8
123=	1	http://biodiversity.org.au/afd.taxon/08b74532-6840-4937-8404-baf0473ed8fe
123=	1	http://biodiversity.org.au/afd.taxon/08dc1895-10aa-4485-bd81-d3f6a98d6f81
123=	1	http://biodiversity.org.au/afd.taxon/08f45654-6422-4837-a0ec-00ef0ce6607f
123=	1	http://biodiversity.org.au/afd.taxon/09008ff0-ca86-4f8a-bc71-7e3c79eeee0c
123=	1	http://biodiversity.org.au/afd.taxon/093cb191-d998-444c-9363-77bb3d691e6c
123=	1	http://biodiversity.org.au/afd.taxon/09484736-d689-444f-84e4-53db6d9029e5
123=	1	http://biodiversity.org.au/afd.taxon/098d75f1-ccfe-4bf1-9f70-7549ab182911
123=	1	http://biodiversity.org.au/afd.taxon/098e0d4f-e8c4-4fa6-aa6e-ab8b66d2481f
123=	1	http://biodiversity.org.au/afd.taxon/09babe20-c4e3-46da-bd83-3266a8c0ea28
123=	1	http://biodiversity.org.au/afd.taxon/09c8b605-097a-427b-b352-adba96fea518
123=	1	http://biodiversity.org.au/afd.taxon/09f2b460-03e2-4a80-9f72-7fb031f8cd7b
123=	1	http://biodiversity.org.au/afd.taxon/0a207116-16a5-4f8c-90a8-0def7e4d035e
123=	1	http://biodiversity.org.au/afd.taxon/0a5494ef-7ddd-492c-ae7e-ac8831acfd7b
123=	1	http://biodiversity.org.au/afd.taxon/0a59cdc7-288d-462e-9b1e-425e36947cd2
123=	1	http://biodiversity.org.au/afd.taxon/0a7c1f7d-1d39-43af-85f9-13a23e26e29e
123=	1	http://biodiversity.org.au/afd.taxon/0a84ce00-419c-4b32-957f-fea9f134b2fc
123=	1	http://biodiversity.org.au/afd.taxon/0a9b0d27-a88f-4fde-81b8-366dc10774c9
123=	1	http://biodiversity.org.au/afd.taxon/0aa5cc48-2892-491c-8b36-8f4fc092fecc
123=	1	http://biodiversity.org.au/afd.taxon/0abcb3fe-167e-465b-aced-d982ac187e31
123=	1	http://biodiversity.org.au/afd.taxon/0ad3a0f3-9676-4d1d-94d9-726b281093b7
123=	1	http://biodiversity.org.au/afd.taxon/0adbc6d9-1d0c-4f62-b199-0fe3d8d028c2
123=	1	http://biodiversity.org.au/afd.taxon/0aecccb5-d79f-4551-95af-4537ec7c8b47
123=	1	http://biodiversity.org.au/afd.taxon/0af175dd-06ff-4e24-b729-9d2971a465ee
123=	1	http://biodiversity.org.au/afd.taxon/0b396a9e-a801-46a5-9735-5f5c4d26ede0
123=	1	http://biodiversity.org.au/afd.taxon/0b560fc2-3913-4331-81c4-cdd3e68c4fa8
123=	1	http://biodiversity.org.au/afd.taxon/0b5d6244-f6fd-4c66-9987-976b39fcf6a1
123=	1	http://biodiversity.org.au/afd.taxon/0b99f67d-8ae0-4883-a5de-90f31418348b
123=	1	http://biodiversity.org.au/afd.taxon/0bdbfd46-dd97-4293-8f3e-7d94dc997392
123=	1	http://biodiversity.org.au/afd.taxon/0be8bf38-6789-415f-8f9c-6c1346eab943
123=	1	http://biodiversity.org.au/afd.taxon/0bfd782c-8eff-4f08-8f02-bbe8caedc100
123=	1	http://biodiversity.org.au/afd.taxon/0c121408-41b9-424d-a5d3-6b9403609efa
123=	1	http://biodiversity.org.au/afd.taxon/0c5171eb-70b3-42b1-9286-ad3f12e546c6
123=	1	http://biodiversity.org.au/afd.taxon/0c6b9b01-6e0f-4b0b-b90a-838ab200aede
123=	1	http://biodiversity.org.au/afd.taxon/0ca82d63-447d-4b81-869d-31afb1580016
123=	1	http://biodiversity.org.au/afd.taxon/0ce592ee-8b5f-4789-95f2-72432b0036f3
123=	1	http://biodiversity.org.au/afd.taxon/0cf6e748-8f4e-41d9-b45e-42113957c963
123=	1	http://biodiversity.org.au/afd.taxon/0d004a8d-0b74-4243-b5c9-df122feca84d
123=	1	http://biodiversity.org.au/afd.taxon/0d311d5a-818e-42d3-9c72-d87e6d37370c
123=	1	http://biodiversity.org.au/afd.taxon/0d7a3f28-3123-419b-9906-044e3c4a1380
123=	1	http://biodiversity.org.au/afd.taxon/0d86a23e-a3a8-4880-8193-d9efaf55bc2d
123=	1	http://biodiversity.org.au/afd.taxon/0d8f35ce-238f-4a6a-9465-b9ad7963c47c
123=	1	http://biodiversity.org.au/afd.taxon/0da05b16-4dbe-4003-bf93-49e1d43ad359
123=	1	http://biodiversity.org.au/afd.taxon/0da44ae6-cabc-4b20-8ff0-5773ba7eaa14
123=	1	http://biodiversity.org.au/afd.taxon/0db2600b-832e-49e1-9418-1ec3c0f4525f
123=	1	http://biodiversity.org.au/afd.taxon/0dce3874-74ce-41ee-a4c9-671c19f5a07e
123=	1	http://biodiversity.org.au/afd.taxon/0df783a5-5a35-4306-9376-221ff4a1d90d
123=	1	http://biodiversity.org.au/afd.taxon/0dfdb942-e548-4eeb-8566-2a492036b13c
